m,m3
0,0
0.1,0.028
0.2,0.17
0.3,0.414
0.4,0.919
0.5,1.624
0.6,2.503
0.7,5.746
0.8,11.682
0.9,17.715
1,23.833
1.1,30.025
1.2,36.281
1.3,42.596
1.4,48.963
1.5,50.751
1.6,52.405
1.7,54.097
1.8,55.823
1.9,57.579
2,59.362
2.1,61.168
2.2,62.994
2.3,64.838
2.4,66.696
2.5,68.566
2.6,70.443
2.7,72.326
2.8,74.211
2.9,76.097
3,77.984
3.1,79.87
3.2,81.757
3.3,83.643
3.4,85.53
3.5,87.416
3.6,89.303
3.7,91.189
3.8,93.076
3.9,94.962
4,96.849
4.1,98.735
4.2,100.622
4.3,102.508
4.4,104.395
4.5,106.281
4.6,108.168
4.7,110.054
4.8,111.941
4.9,113.827
5,115.714
5.1,117.6
5.2,119.487
5.3,121.373
5.4,123.26
5.5,125.146
5.6,127.033
5.7,128.919
5.8,130.806
5.9,132.692
6,134.579
6.1,136.465
6.2,138.352
6.3,140.238
6.4,142.125
6.5,144.011
6.6,145.898
6.7,147.784
6.8,149.671
6.9,151.557
7,153.444
7.054,154.457
